"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.71703,2.27,0.00218,75,0.0477
"EGFR inhibitor","NES","Abl kinase inhibitor",0.53248,1.68,0.0531,233,0.213
"EGFR inhibitor","NES","acetylcholine receptor agonist",0.43699,1.38,0.148,417,0.319
"EGFR inhibitor","NES","acetylcholine receptor antagonist",-0.31833,-1.02,0.405,1294,0.988
"EGFR inhibitor","NES","adenosine receptor antagonist",0.44363,1.4,0.148,353,0.316
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.27865,-0.859,0.555,1020,0.899
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.1673,-0.519,0.95,974,1
"EGFR inhibitor","NES","AKT inhibitor",0.56075,1.83,0.044,315,0.23
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.46617,1.46,0.107,141,0.334
"EGFR inhibitor","NES","androgen receptor antagonist",-0.60217,-1.85,0.0235,1188,0.253
"EGFR inhibitor","NES","antioxidant",-0.29197,-0.896,0.58,1312,0.927
"EGFR inhibitor","NES","AP inhibitor",-0.35366,-1.08,0.36,1201,1
"EGFR inhibitor","NES","ATPase inhibitor",-0.27165,-0.841,0.635,1090,0.902
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.18179,-0.565,0.915,324,1
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.40308,-1.23,0.238,1158,0.828
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",-0.4173,-1.28,0.21,922,0.844
"EGFR inhibitor","NES","BCL inhibitor",0.53503,1.71,0.0573,274,0.272
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.60548,2.01,0.0107,149,0.118
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.28526,-0.884,0.549,800,0.915
"EGFR inhibitor","NES","bromodomain inhibitor",-0.24784,-0.775,0.7,1279,0.955
"EGFR inhibitor","NES","calcium channel blocker",0.21871,0.695,0.812,127,0.907
"EGFR inhibitor","NES","CC chemokine receptor antagonist",0.20939,0.685,0.815,1068,0.894
"EGFR inhibitor","NES","CDK inhibitor",-0.16118,-0.501,0.963,1150,1
"EGFR inhibitor","NES","CHK inhibitor",-0.41623,-1.29,0.183,948,0.902
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.12343,-0.382,0.993,1348,0.993
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.39963,-1.24,0.217,851,0.872
"EGFR inhibitor","NES","DNA alkylating agent",-0.15911,-0.501,0.962,1015,1
"EGFR inhibitor","NES","DNA inhibitor",-0.44241,-1.37,0.156,900,0.781
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.42234,1.35,0.156,243,0.315
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.36675,-1.17,0.279,865,0.911
"EGFR inhibitor","NES","DNA synthesis inhibitor",0.21992,0.702,0.782,175,0.923
"EGFR inhibitor","NES","dopamine receptor antagonist",0.16396,0.532,0.949,564,0.941
"EGFR inhibitor","NES","estrogen receptor agonist",0.24037,0.785,0.688,277,0.832
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.47708,-1.51,0.0832,1116,0.728
"EGFR inhibitor","NES","FGFR inhibitor",0.40513,1.26,0.243,253,0.393
"EGFR inhibitor","NES","FLT3 inhibitor",0.30583,0.993,0.455,317,0.549
