"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A61603","Pearson.est","adrenergic receptor agonist",-0.28644,-0.742,0.758,979,1,TRUE,FALSE,"adrenergic receptor agonist"
"ABT.737","Pearson.est","BCL inhibitor",-0.49121,-1.32,0.192,1183,0.548,TRUE,FALSE,"BCL inhibitor"
"ACDPP","Pearson.est","glutamate receptor antagonist",-0.36475,-1.02,0.416,1215,0.988,TRUE,FALSE,"glutamate receptor antagonist"
"ACY.1215","Pearson.est","HDAC inhibitor",0.14077,0.341,1,973,1,TRUE,FALSE,"HDAC inhibitor"
"AEE788","Pearson.est","VEGFR inhibitor",0.38383,0.961,0.504,526,0.665,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",0.3789,0.95,0.536,512,0.839,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AM.580","Pearson.est","retinoid receptor agonist",-0.53806,-1.43,0.117,1336,1,TRUE,FALSE,"retinoid receptor agonist"
"AMG.208","Pearson.est","tyrosine kinase inhibitor",0.25282,0.611,0.934,683,0.993,TRUE,FALSE,"tyrosine kinase inhibitor"
"AST.1306","Pearson.est","EGFR inhibitor",0.35029,0.88,0.601,288,0.708,TRUE,FALSE,"EGFR inhibitor"
"AT.9283","Pearson.est","JAK inhibitor",0.15542,0.399,0.993,187,1,TRUE,FALSE,"Aurora kinase inhibitor, JAK inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",-0.34251,-0.931,0.459,1306,0.704,TRUE,FALSE,"JAK inhibitor"
"AZD2858","Pearson.est","glycogen synthase kinase inhibitor",-0.21443,-0.519,0.975,794,0.971,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",0.21378,0.568,0.947,497,1,TRUE,FALSE,"PI3K inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",-0.25355,-0.614,0.91,339,0.981,TRUE,FALSE,"NFkB pathway inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",-0.40259,-1.06,0.38,1139,0.69,TRUE,FALSE,"NFkB pathway inhibitor"
"BIX.02188","Pearson.est","MEK inhibitor",-0.45631,-1.12,0.327,1016,0.638,TRUE,FALSE,"MEK inhibitor"
"BMS.265246","Pearson.est","CDK inhibitor",0.28793,0.673,0.879,761,1,TRUE,FALSE,"CDK inhibitor"
"BMS.599626","Pearson.est","EGFR inhibitor",0.16057,0.401,1,439,1,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"CCT129202","Pearson.est","Aurora kinase inhibitor",0.29387,0.687,0.872,815,1,TRUE,FALSE,"Aurora kinase inhibitor"
"CD.437","Pearson.est","retinoid receptor agonist",-0.38368,-1,0.447,1212,0.834,TRUE,FALSE,"retinoid receptor agonist"
"CEP.33779","Pearson.est","JAK inhibitor",0.24686,0.622,0.901,422,0.898,TRUE,FALSE,"JAK inhibitor"
"CGP.37849","Pearson.est","glutamate receptor antagonist",0.38264,0.927,0.58,104,0.937,TRUE,FALSE,"glutamate receptor antagonist"
"CHIR.98014","Pearson.est","glycogen synthase kinase inhibitor",-0.25,-0.701,0.842,335,0.82,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CHIR.99021","Pearson.est","glycogen synthase kinase inhibitor",0.32752,0.824,0.704,659,1,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CL.218872","Pearson.est","benzodiazepine receptor agonist",-0.23875,-0.607,0.881,815,1,TRUE,FALSE,"benzodiazepine receptor agonist"
"CNX.2006","Pearson.est","EGFR inhibitor",-0.183,-0.501,0.978,1030,0.979,TRUE,FALSE,"EGFR inhibitor"
"CP.724714","Pearson.est","EGFR inhibitor",-0.20556,-0.552,0.952,1107,0.981,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"CP.724714","Pearson.est","protein tyrosine kinase inhibitor",0.37151,0.948,0.503,36,0.833,TRUE,FALSE,"EGFR inhibitor, protein tyrosine kinase inhibitor"
"CPP","Pearson.est","glutamate receptor antagonist",0.30888,0.749,0.798,107,1,TRUE,FALSE,"glutamate receptor antagonist"
"CR8..R.","Pearson.est","CDK inhibitor",-0.18382,-0.457,0.985,876,0.989,TRUE,FALSE,"CDK inhibitor"
"CUDC.101","Pearson.est","EGFR inhibitor",-0.66265,-1.87,0.00792,1059,0.296,TRUE,FALSE,"EGFR inhibitor"
"CUDC.907","Pearson.est","PI3K inhibitor",0.18335,0.438,0.993,666,1,TRUE,FALSE,"PI3K inhibitor"
"DMH1","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.43443,-1.16,0.276,1195,0.55,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"EMD.53998","Pearson.est","phosphodiesterase inhibitor",0.23734,0.612,0.908,631,1,TRUE,FALSE,"phosphodiesterase inhibitor"
"EVP4593","Pearson.est","NFkB pathway inhibitor",0.35024,0.876,0.62,484,0.928,TRUE,FALSE,"NFkB pathway inhibitor"
"FERb.033","Pearson.est","EGFR inhibitor",0.24009,0.596,0.922,520,0.994,TRUE,FALSE,"EGFR inhibitor"
"FK.3311","Pearson.est","cyclooxygenase inhibitor",-0.31987,-0.829,0.658,980,0.989,TRUE,FALSE,"cyclooxygenase inhibitor"
"GSK.3.inhibitor.IX","Pearson.est","glycogen synthase kinase inhibitor",0.35613,0.889,0.629,710,1,TRUE,FALSE,"glycogen synthase kinase inhibitor, lipoxygenase inhibitor"
"GSK256066","Pearson.est","phosphodiesterase inhibitor",-0.20464,-0.568,0.95,1162,0.946,TRUE,FALSE,"phosphodiesterase inhibitor"
"GTP.14564","Pearson.est","FLT3 inhibitor",-0.24324,-0.612,0.898,324,0.97,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GTP.14564","Pearson.est","tyrosine kinase inhibitor",-0.4204,-1.08,0.355,1178,0.78,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GW.441756","Pearson.est","growth factor receptor inhibitor",0.28681,0.705,0.83,664,1,TRUE,FALSE,"growth factor receptor inhibitor"
"IEM1754","Pearson.est","glutamate receptor antagonist",0.30045,0.7,0.839,255,0.932,TRUE,FALSE,"glutamate receptor antagonist"
"IKK.2.inhibitor.V","Pearson.est","NFkB pathway inhibitor",-0.33158,-0.949,0.458,1191,0.998,TRUE,FALSE,"IKK inhibitor, NFkB pathway inhibitor"
"KI.8751","Pearson.est","KIT inhibitor",0.33816,0.812,0.704,367,0.944,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KI.8751","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.19979,-0.586,0.939,1103,0.99,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KI.8751","Pearson.est","VEGFR inhibitor",-0.33763,-1.04,0.346,1097,0.631,TRUE,FALSE,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor"
"KW.2449","Pearson.est","Abl kinase inhibitor",-0.24907,-0.727,0.792,333,1,TRUE,FALSE,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor"
"KW.2449","Pearson.est","FLT3 inhibitor",0.29865,0.732,0.804,523,1,TRUE,FALSE,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor"
"LE.135","Pearson.est","retinoid receptor agonist",-0.42482,-1.25,0.223,1335,1,TRUE,FALSE,"retinoid receptor agonist"
"LY2334737","Pearson.est","ribonucleotide reductase inhibitor",-0.35744,-1.01,0.407,1263,0.749,TRUE,FALSE,"antitumor agent, ribonucleotide reductase inhibitor"
"LY3023414","Pearson.est","PI3K inhibitor",0.2937,0.715,0.806,275,0.882,TRUE,FALSE,"PI3K inhibitor, mTOR inhibitor"
"LY303511","Pearson.est","mTOR inhibitor",-0.30886,-0.916,0.546,408,0.746,TRUE,FALSE,"casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor"
"LY303511","Pearson.est","PI3K inhibitor",-0.40729,-1.25,0.213,1168,0.444,TRUE,FALSE,"casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor"
"LY364947","Pearson.est","p38 MAPK inhibitor",-0.23565,-0.642,0.854,316,1,TRUE,FALSE,"TGF beta receptor inhibitor, p38 MAPK inhibitor"
"LY364947","Pearson.est","TGF beta receptor inhibitor",-0.42097,-1.18,0.244,1207,0.682,TRUE,FALSE,"TGF beta receptor inhibitor, p38 MAPK inhibitor"
"LY456236","Pearson.est","glutamate receptor antagonist",-0.26406,-0.66,0.868,1191,0.961,TRUE,FALSE,"glutamate receptor antagonist"
"MEK1.2.inhibitor","Pearson.est","MEK inhibitor",-0.29402,-0.762,0.736,992,0.859,TRUE,FALSE,"MEK inhibitor"
"MK.2461","Pearson.est","VEGFR inhibitor",0.25107,0.623,0.916,424,0.959,TRUE,FALSE,"FGFR inhibitor, VEGFR inhibitor"
"ML133","Pearson.est","potassium channel blocker",0.38034,0.994,0.449,60,0.862,TRUE,FALSE,"potassium channel blocker"
"MNS..3.4.Methylenedioxy.nitrostyrene.","Pearson.est","src inhibitor",-0.26603,-0.698,0.839,983,0.949,TRUE,FALSE,"src inhibitor, syk inhibitor"
"MTPG","Pearson.est","glutamate receptor antagonist",0.3598,0.839,0.674,105,0.94,TRUE,FALSE,"glutamate receptor antagonist"
"NMS.873","Pearson.est","ATPase inhibitor",-0.19208,-0.572,0.957,257,1,TRUE,FALSE,"ATPase inhibitor"
"NSC.3852","Pearson.est","HDAC inhibitor",0.29455,0.711,0.838,370,0.955,TRUE,FALSE,"HDAC inhibitor"
"NU6027","Pearson.est","CDK inhibitor",0.28676,0.701,0.826,387,0.997,TRUE,FALSE,"CDK inhibitor"
"ONC201","Pearson.est","AKT inhibitor",0.29498,0.764,0.734,403,0.927,TRUE,FALSE,"AKT inhibitor, MAP kinase inhibitor"
"OSI.027","Pearson.est","mTOR inhibitor",0.31355,0.776,0.753,479,0.926,TRUE,FALSE,"mTOR inhibitor"
"OSI.420","Pearson.est","EGFR inhibitor",-0.39944,-1.24,0.213,1164,0.958,TRUE,FALSE,"EGFR inhibitor"
"OSI.930","Pearson.est","KIT inhibitor",0.33127,0.782,0.769,675,1,TRUE,FALSE,"KIT inhibitor, VEGFR inhibitor"
"OSI.930","Pearson.est","VEGFR inhibitor",0.25756,0.614,0.932,699,1,TRUE,FALSE,"KIT inhibitor, VEGFR inhibitor"
"PD.98059","Pearson.est","MEK inhibitor",-0.23387,-0.636,0.868,993,1,TRUE,FALSE,"MEK inhibitor"
"PF.04136309","Pearson.est","CC chemokine receptor antagonist",0.35805,0.887,0.623,273,1,TRUE,FALSE,"CC chemokine receptor antagonist"
"PF.4981517","Pearson.est","cytochrome P450 inhibitor",0.3725,0.922,0.57,597,1,TRUE,FALSE,"cytochrome P450 inhibitor"
"PHA.793887","Pearson.est","CDK inhibitor",-0.13131,-0.398,1,1303,0.999,TRUE,FALSE,"CDK inhibitor"
"PHA.848125","Pearson.est","CDK inhibitor",0.3603,0.882,0.586,444,0.78,TRUE,FALSE,"CDK inhibitor, growth factor receptor inhibitor"
"PIK.75","Pearson.est","PI3K inhibitor",-0.19633,-0.552,0.942,976,0.984,TRUE,FALSE,"DNA protein kinase inhibitor, PI3K inhibitor"
"PJ.34","Pearson.est","PARP inhibitor",-0.59548,-1.54,0.0861,1106,0.491,TRUE,FALSE,"PARP inhibitor"
"PKI.179","Pearson.est","PI3K inhibitor",0.3324,0.827,0.709,143,0.934,TRUE,FALSE,"mTOR inhibitor, PI3K inhibitor"
"PLX.4720","Pearson.est","RAF inhibitor",-0.38534,-1.12,0.301,1112,0.897,TRUE,FALSE,"RAF inhibitor"
"PRT062070","Pearson.est","JAK inhibitor",0.40412,0.99,0.447,338,0.735,TRUE,FALSE,"JAK inhibitor, syk inhibitor"
"PSB.1115","Pearson.est","adenosine receptor antagonist",-0.49478,-1.45,0.0746,664,0.329,TRUE,FALSE,"adenosine receptor antagonist"
"RG108","Pearson.est","DNA methyltransferase inhibitor",-0.43783,-1.29,0.144,588,0.569,TRUE,FALSE,"DNA methyltransferase inhibitor"
"RGFP966","Pearson.est","HDAC inhibitor",-0.40128,-1.07,0.349,1070,0.675,TRUE,FALSE,"HDAC inhibitor"
"RS.17053","Pearson.est","adrenergic receptor antagonist",-0.49465,-1.28,0.195,1006,0.685,TRUE,FALSE,"adrenergic receptor antagonist"
"RU.58841","Pearson.est","androgen receptor antagonist",0.30014,0.875,0.58,36,1,TRUE,FALSE,"androgen receptor antagonist"
"Ro.106.9920","Pearson.est","NFkB pathway inhibitor",-0.51624,-1.32,0.163,782,0.883,TRUE,FALSE,"NFkB pathway inhibitor"
"Ro.9187","Pearson.est","HCV inhibitor",-0.34965,-0.857,0.658,1187,0.947,TRUE,FALSE,"HCV inhibitor"
"SAR131675","Pearson.est","VEGFR inhibitor",0.32261,0.781,0.743,505,0.92,TRUE,FALSE,"VEGFR inhibitor"
"SB.200646","Pearson.est","serotonin receptor antagonist",0.37225,0.904,0.614,358,0.916,TRUE,FALSE,"serotonin receptor antagonist"
"SB.216641","Pearson.est","serotonin receptor antagonist",0.2734,0.644,0.873,153,0.985,TRUE,FALSE,"serotonin receptor antagonist"
"SB.228357","Pearson.est","serotonin receptor antagonist",0.38841,0.92,0.579,282,0.866,TRUE,FALSE,"serotonin receptor antagonist"
"SB.505124","Pearson.est","ALK tyrosine kinase receptor inhibitor",-0.42148,-1.16,0.291,1117,0.723,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"SIB.1757","Pearson.est","glutamate receptor antagonist",0.34015,0.892,0.614,733,0.775,TRUE,FALSE,"glutamate receptor antagonist"
"SKF.96365","Pearson.est","calcium channel blocker",-0.21656,-0.647,0.881,1317,0.995,TRUE,FALSE,"calcium channel blocker"
"SR.33805","Pearson.est","calcium channel blocker",-0.55428,-1.38,0.111,1221,0.698,TRUE,FALSE,"calcium channel blocker"
