"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.71703,2.27,0.00218,0.0477,TRUE,2.99976327957894,0.71703,2.27,0.00218,0.0477,TRUE,2.99976327957894,2,2.99976327957894,0,2.27,0,6.30019052866513e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.57188,1.91,0.0157,0.442,FALSE,0.677243465543234,0.53248,1.68,0.0531,0.213,FALSE,1.12832226622292,0,0.902782865883078,0.318960878810101,1.795,0.162634559672906,0.00674411762101728,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",0.27968,0.938,0.499,0.899,FALSE,0.0433734091542314,0.43699,1.38,0.148,0.319,FALSE,0.68476885738109,0,0.364071133267661,0.453535070863397,1.159,0.312541197284454,0.266287579501309,FALSE,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",-0.21026,-0.775,0.678,0.843,FALSE,-0.0574836296658247,-0.31833,-1.02,0.405,0.988,FALSE,-0.00534791652061932,0,-0.031415773093222,0.0368655163069714,-0.8975,0.173241161390704,0.629491040559072,FALSE,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.29581,0.995,0.463,0.785,FALSE,0.104604691538474,0.44363,1.4,0.148,0.316,FALSE,0.700438084334235,0,0.402521387936354,0.42131783250327,1.1975,0.286378246380552,0.252207462972327,FALSE,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.38845,-1.41,0.132,0.363,FALSE,-0.620531658699081,-0.27865,-0.859,0.555,0.899,FALSE,-0.0397204248011565,0,-0.330126041750119,0.410695562078549,-1.1345,0.389615836433788,0.264742630614721,FALSE,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",-0.15521,-0.589,0.903,0.957,FALSE,-0.0112428686494391,-0.1673,-0.519,0.95,1,FALSE,0,0,-0.00562143432471957,0.00794990866200806,-0.554,0.0494974746830583,0.989380726216426,FALSE,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.54353,1.78,0.0335,0.227,TRUE,1.14627397419624,0.56075,1.83,0.044,0.23,TRUE,1.1680380600878,2,1.15715601714202,0.0153895327202509,1.805,0.0353553390593274,0.0110841490652069,FALSE,0,"TRUE",TRUE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.51683,1.85,0.0299,0.264,FALSE,1.07003273529081,0.46617,1.46,0.107,0.334,FALSE,0.695330158455116,0,0.882681446872964,0.264954733008595,1.655,0.275771644662754,0.0215787130016681,FALSE,1.23456790123457,"TRUE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.60194,-2.02,0.0147,0.306,FALSE,-1.03884271850721,-0.60217,-1.85,0.0235,0.253,FALSE,-1.10422703582474,0,-1.07153487716597,0.0462336941584775,-1.935,0.120208152801713,0.00309891541003453,FALSE,0,"FALSE",FALSE
