"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.71703,2.27,0.00218,75,0.0477
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.48154,1.6,0.0806,487,0.419
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.48422,1.65,0.0565,390,0.386
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.28965,0.99,0.45,960,0.643
"adenosine receptor antagonist","NES","adenosine receptor antagonist",-0.3361,-1.18,0.296,1310,0.988
"adrenergic receptor agonist","NES","adrenergic receptor agonist",-0.33918,-1.24,0.237,1132,0.454
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.27976,0.947,0.501,559,0.707
"AKT inhibitor","NES","AKT inhibitor",0.5693,1.93,0.0174,354,0.183
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.52529,1.81,0.0435,269,0.173
"androgen receptor antagonist","NES","androgen receptor antagonist",0.2537,0.872,0.569,174,0.897
"antioxidant","NES","antioxidant",0.64646,2.15,0.00493,142,0.262
"AP inhibitor","NES","AP inhibitor",0.55696,1.86,0.025,601,0.311
"ATPase inhibitor","NES","ATPase inhibitor",0.57056,1.98,0.0221,262,0.23
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.75129,2.39,0.00149,285,0.0183
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.69053,2.32,0.00163,423,0.0908
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.25052,-0.912,0.518,562,0.695
"BCL inhibitor","NES","BCL inhibitor",0.34409,1.18,0.268,239,0.55
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.47837,1.62,0.0747,195,0.422
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.16258,0.54,0.928,618,0.986
"bromodomain inhibitor","NES","bromodomain inhibitor",0.9032,3.04,0,136,0
"calcium channel blocker","NES","calcium channel blocker",-0.51812,-1.84,0.0355,844,0.287
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",-0.31818,-1.18,0.281,427,0.743
"CDK inhibitor","NES","CDK inhibitor",0.51973,1.69,0.0426,307,0.343
"CHK inhibitor","NES","CHK inhibitor",0.88674,3.12,0,159,0
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",0.3318,1.11,0.355,340,0.766
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",-0.31673,-1.15,0.288,1280,0.522
"DNA alkylating agent","NES","DNA alkylating agent",0.44464,1.49,0.0964,512,0.361
"DNA inhibitor","NES","DNA inhibitor",0.38175,1.29,0.206,345,0.504
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",0.32493,1.1,0.35,492,0.671
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.26558,0.875,0.597,528,0.912
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.28707,0.99,0.441,772,0.792
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.31363,1.04,0.397,280,0.801
"estrogen receptor agonist","NES","estrogen receptor agonist",0.33945,1.2,0.255,251,0.747
"estrogen receptor antagonist","NES","estrogen receptor antagonist",0.69278,2.37,0,249,0.0788
"FGFR inhibitor","NES","FGFR inhibitor",0.49813,1.67,0.0458,159,0.686
"FLT3 inhibitor","NES","FLT3 inhibitor",0.52825,1.74,0.0515,293,0.311
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.88515,2.7,0,126,0.000858
"glutamate receptor antagonist","NES","glutamate receptor antagonist",0.16307,0.566,0.91,763,1
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",-0.15373,-0.555,0.906,206,0.967
"growth factor receptor inhibitor","NES","growth factor receptor inhibitor",0.35536,1.23,0.241,426,0.627
"HCV inhibitor","NES","HCV inhibitor",-0.22158,-0.76,0.717,1296,0.848
"HDAC inhibitor","NES","HDAC inhibitor",0.74034,2.44,0.00175,157,0.0184
"histamine receptor antagonist","NES","histamine receptor antagonist",0.2398,0.825,0.626,207,0.817
"HMGCR inhibitor","NES","HMGCR inhibitor",0.68787,2.3,0.00331,320,0.0724
