"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.6494,2.06,0.00379,305,0.0874
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.17226,-0.569,0.899,1339,1
"EGFR inhibitor","NES","acetylcholine receptor agonist",0.24272,0.771,0.701,1020,0.902
"EGFR inhibitor","NES","acetylcholine receptor antagonist",0.32602,1.05,0.364,347,0.701
"EGFR inhibitor","NES","adenosine receptor antagonist",0.43355,1.41,0.137,119,0.486
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.26585,-0.879,0.568,1156,0.911
"EGFR inhibitor","NES","adrenergic receptor antagonist",-0.17535,-0.607,0.869,1297,1
"EGFR inhibitor","NES","AKT inhibitor",0.29892,0.985,0.448,609,0.755
"EGFR inhibitor","NES","ALK tyrosine kinase receptor inhibitor",-0.27486,-0.902,0.531,1296,0.904
"EGFR inhibitor","NES","androgen receptor antagonist",-0.48599,-1.59,0.0822,1180,0.426
"EGFR inhibitor","NES","antioxidant",-0.37416,-1.23,0.236,501,0.679
"EGFR inhibitor","NES","AP inhibitor",0.29649,0.971,0.494,948,0.751
"EGFR inhibitor","NES","ATPase inhibitor",0.32429,1.05,0.406,400,0.701
"EGFR inhibitor","NES","Aurora kinase inhibitor",0.20375,0.665,0.84,186,0.922
"EGFR inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",0.36198,1.19,0.273,268,0.529
"EGFR inhibitor","NES","bacterial DNA gyrase inhibitor",0.21092,0.692,0.791,777,0.913
"EGFR inhibitor","NES","BCL inhibitor",0.42481,1.41,0.147,320,0.486
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.19397,-0.66,0.818,1339,1
"EGFR inhibitor","NES","benzodiazepine receptor agonist",-0.22026,-0.749,0.719,1104,1
"EGFR inhibitor","NES","bromodomain inhibitor",-0.54362,-1.79,0.0427,1200,0.353
"EGFR inhibitor","NES","calcium channel blocker",-0.33765,-1.11,0.341,1010,0.773
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.46338,-1.54,0.084,620,0.453
"EGFR inhibitor","NES","CDK inhibitor",-0.15991,-0.539,0.923,490,0.98
"EGFR inhibitor","NES","CHK inhibitor",0.22136,0.734,0.753,58,0.883
"EGFR inhibitor","NES","cyclooxygenase inhibitor",-0.24829,-0.835,0.615,1173,0.923
"EGFR inhibitor","NES","cytochrome P450 inhibitor",-0.61942,-2.08,0.00629,968,0.197
"EGFR inhibitor","NES","DNA alkylating agent",-0.18885,-0.628,0.873,1274,1
"EGFR inhibitor","NES","DNA inhibitor",-0.17368,-0.577,0.897,980,1
"EGFR inhibitor","NES","DNA methyltransferase inhibitor",0.37931,1.28,0.229,357,0.494
"EGFR inhibitor","NES","DNA polymerase inhibitor",-0.31754,-1.06,0.368,1257,0.832
"EGFR inhibitor","NES","DNA synthesis inhibitor",-0.41058,-1.36,0.146,981,0.588
"EGFR inhibitor","NES","dopamine receptor antagonist",0.17321,0.559,0.927,144,0.981
"EGFR inhibitor","NES","estrogen receptor agonist",-0.30679,-1.05,0.375,1261,0.808
"EGFR inhibitor","NES","estrogen receptor antagonist",-0.34584,-1.19,0.264,996,0.711
"EGFR inhibitor","NES","FGFR inhibitor",-0.31225,-1.04,0.391,1085,0.787
"EGFR inhibitor","NES","FLT3 inhibitor",0.16539,0.533,0.926,368,0.977
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.29248,-0.973,0.445,1013,0.841
"EGFR inhibitor","NES","glutamate receptor antagonist",-0.38329,-1.26,0.216,1105,0.672
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.46022,1.5,0.0813,35,0.463
"EGFR inhibitor","NES","growth factor receptor inhibitor",0.42977,1.37,0.148,637,0.448
"EGFR inhibitor","NES","HCV inhibitor",-0.27671,-0.939,0.498,1171,0.869
"EGFR inhibitor","NES","HDAC inhibitor",0.14903,0.468,0.964,541,0.968
"EGFR inhibitor","NES","histamine receptor antagonist",-0.44279,-1.47,0.113,1037,0.505
