"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","AKT inhibitor",0.38414,0.959,0.483,473,0.746,TRUE,FALSE,"AKT inhibitor"
"A61603","Pearson.est","adrenergic receptor agonist",0.22973,0.589,0.927,163,0.945,TRUE,FALSE,"adrenergic receptor agonist"
"ACDPP","Pearson.est","glutamate receptor antagonist",0.31793,0.839,0.653,144,1,TRUE,FALSE,"glutamate receptor antagonist"
"AG.14361","Pearson.est","PARP inhibitor",0.30103,0.736,0.796,64,0.931,TRUE,FALSE,"PARP inhibitor"
"AM.404","Pearson.est","cyclooxygenase inhibitor",0.28275,0.72,0.809,336,0.959,TRUE,FALSE,"cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist"
"AMG458","Pearson.est","MET inhibitor",0.32463,0.831,0.619,910,0.945,TRUE,FALSE,"MET inhibitor"
"AT.7519","Pearson.est","CDK inhibitor",0.2781,0.718,0.773,382,0.871,TRUE,FALSE,"CDK inhibitor"
"AT.9283","Pearson.est","JAK inhibitor",0.24657,0.623,0.891,632,1,TRUE,FALSE,"Aurora kinase inhibitor, JAK inhibitor"
"AZ960","Pearson.est","JAK inhibitor",0.37224,0.939,0.524,557,0.841,TRUE,FALSE,"JAK inhibitor"
"AZD1480","Pearson.est","JAK inhibitor",0.29461,0.717,0.834,560,1,TRUE,FALSE,"JAK inhibitor"
"AZD3463","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.25657,0.628,0.866,620,0.947,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor, insulin growth factor receptor inhibitor"
"AZD6482","Pearson.est","PI3K inhibitor",0.36236,0.884,0.594,615,0.888,TRUE,FALSE,"PI3K inhibitor"
"BAY.11.7082","Pearson.est","NFkB pathway inhibitor",-0.29025,-0.81,0.683,1102,0.983,TRUE,FALSE,"NFkB pathway inhibitor"
"BAY.11.7085","Pearson.est","NFkB pathway inhibitor",-0.316,-0.835,0.628,1220,0.826,TRUE,FALSE,"NFkB pathway inhibitor"
"BF2.649","Pearson.est","histamine receptor antagonist",-0.27818,-0.82,0.671,1222,0.782,TRUE,FALSE,"histamine receptor antagonist"
"BGT226","Pearson.est","PI3K inhibitor",0.36335,0.855,0.675,220,0.915,TRUE,FALSE,"PI3K inhibitor"
"BIBU.1361","Pearson.est","EGFR inhibitor",-0.20979,-0.621,0.899,1102,0.947,TRUE,FALSE,"EGFR inhibitor"
"BIBX.1382","Pearson.est","EGFR inhibitor",0.36143,0.898,0.614,383,0.856,TRUE,FALSE,"EGFR inhibitor"
"BIX.02188","Pearson.est","MEK inhibitor",-0.30652,-0.757,0.767,781,0.859,TRUE,FALSE,"MEK inhibitor"
"BMS.265246","Pearson.est","CDK inhibitor",0.36858,0.863,0.65,484,0.916,TRUE,FALSE,"CDK inhibitor"
"BMS.387032","Pearson.est","CDK inhibitor",0.32063,0.775,0.757,476,0.956,TRUE,FALSE,"CDK inhibitor, cell cycle inhibitor, MCL1 inhibitor"
"CEP.32496","Pearson.est","RAF inhibitor",-0.40378,-1.05,0.393,1298,0.784,TRUE,FALSE,"RAF inhibitor"
"CEP.33779","Pearson.est","JAK inhibitor",-0.18514,-0.466,0.989,991,1,TRUE,FALSE,"JAK inhibitor"
"CEP.37440","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.25847,0.628,0.888,334,1,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"CGS.20625","Pearson.est","benzodiazepine receptor agonist",-0.2528,-0.748,0.757,1151,0.915,TRUE,FALSE,"benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist"
"CH5132799","Pearson.est","PI3K inhibitor",0.35877,0.954,0.507,374,0.745,TRUE,FALSE,"PI3K inhibitor"
"CHIR.98014","Pearson.est","glycogen synthase kinase inhibitor",-0.43434,-1.04,0.418,855,1,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CHIR.99021","Pearson.est","glycogen synthase kinase inhibitor",0.29111,0.744,0.782,744,1,TRUE,FALSE,"glycogen synthase kinase inhibitor"
"CL.218872","Pearson.est","benzodiazepine receptor agonist",0.34899,0.918,0.509,213,0.825,TRUE,FALSE,"benzodiazepine receptor agonist"
"CP.673451","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.30592,0.738,0.785,249,0.985,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor"
"CUDC.101","Pearson.est","EGFR inhibitor",0.13226,0.401,1,103,0.994,TRUE,FALSE,"EGFR inhibitor"
"CUDC.907","Pearson.est","PI3K inhibitor",0.19164,0.468,0.988,482,1,TRUE,FALSE,"PI3K inhibitor"
"DMH1","Pearson.est","ALK tyrosine kinase receptor inhibitor",0.31806,0.793,0.714,316,0.928,TRUE,FALSE,"ALK tyrosine kinase receptor inhibitor"
"E7449","Pearson.est","PARP inhibitor",-0.5934,-1.54,0.0743,882,0.505,TRUE,FALSE,"PARP inhibitor"
"ENMD.2076","Pearson.est","VEGFR inhibitor",0.31641,0.793,0.729,382,0.881,TRUE,FALSE,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor"
"EVP4593","Pearson.est","NFkB pathway inhibitor",-0.37955,-1.17,0.263,1050,0.41,TRUE,FALSE,"NFkB pathway inhibitor"
"FK.3311","Pearson.est","cyclooxygenase inhibitor",0.34846,0.859,0.65,440,0.729,TRUE,FALSE,"cyclooxygenase inhibitor"
"FR.122047","Pearson.est","cyclooxygenase inhibitor",-0.13509,-0.352,0.998,179,0.999,TRUE,FALSE,"cyclooxygenase inhibitor"
"GDC.0980","Pearson.est","PI3K inhibitor",0.36711,0.944,0.505,276,0.779,TRUE,FALSE,"mTOR inhibitor, PI3K inhibitor"
"GSK256066","Pearson.est","phosphodiesterase inhibitor",-0.56715,-1.56,0.0733,1091,0.359,TRUE,FALSE,"phosphodiesterase inhibitor"
"GTP.14564","Pearson.est","FLT3 inhibitor",-0.22238,-0.605,0.903,962,1,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GTP.14564","Pearson.est","tyrosine kinase inhibitor",-0.3848,-1.02,0.415,940,0.936,TRUE,FALSE,"FLT3 inhibitor, tyrosine kinase inhibitor"
"GW.441756","Pearson.est","growth factor receptor inhibitor",-0.38706,-0.992,0.444,1134,0.762,TRUE,FALSE,"growth factor receptor inhibitor"
"GW.583340","Pearson.est","EGFR inhibitor",0.31171,0.773,0.735,428,0.933,TRUE,FALSE,"EGFR inhibitor"
