"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.6494,2.06,0.00379,305,0.0874
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.30443,1.04,0.377,147,0.93
"acetylcholine receptor agonist","NES","acetylcholine receptor agonist",0.42456,1.4,0.152,52,0.747
"acetylcholine receptor antagonist","NES","acetylcholine receptor antagonist",0.4849,1.64,0.0608,298,0.513
"adenosine receptor antagonist","NES","adenosine receptor antagonist",0.2356,0.803,0.65,354,1
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.32954,1.11,0.336,180,0.966
"adrenergic receptor antagonist","NES","adrenergic receptor antagonist",0.17568,0.603,0.864,250,0.926
"AKT inhibitor","NES","AKT inhibitor",0.55823,1.85,0.0256,368,0.288
"ALK tyrosine kinase receptor inhibitor","NES","ALK tyrosine kinase receptor inhibitor",0.27741,0.927,0.514,134,0.994
"androgen receptor antagonist","NES","androgen receptor antagonist",0.89836,3.2,0,142,0
"antioxidant","NES","antioxidant",0.38338,1.29,0.201,592,0.668
"AP inhibitor","NES","AP inhibitor",0.65295,2.23,0.00485,30,0.176
"ATPase inhibitor","NES","ATPase inhibitor",0.24898,0.842,0.603,249,0.926
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.6458,2.09,0.0043,325,0.134
"bacterial 50S ribosomal subunit inhibitor","NES","bacterial 50S ribosomal subunit inhibitor",-0.32138,-1.18,0.282,835,0.682
"bacterial DNA gyrase inhibitor","NES","bacterial DNA gyrase inhibitor",-0.2819,-1.04,0.387,1116,0.937
"BCL inhibitor","NES","BCL inhibitor",0.75297,2.69,0,251,0.00671
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.51182,1.74,0.0454,99,0.706
"benzodiazepine receptor agonist","NES","benzodiazepine receptor agonist",0.17964,0.606,0.865,468,0.888
"bromodomain inhibitor","NES","bromodomain inhibitor",0.84093,2.9,0,219,0
"calcium channel blocker","NES","calcium channel blocker",-0.25324,-0.896,0.56,524,0.7
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.59558,1.95,0.0194,444,0.32
"CDK inhibitor","NES","CDK inhibitor",0.59649,1.97,0.0179,146,0.615
"CHK inhibitor","NES","CHK inhibitor",0.85356,2.95,0,87,0.00238
"cyclooxygenase inhibitor","NES","cyclooxygenase inhibitor",-0.17325,-0.628,0.852,1069,0.919
"cytochrome P450 inhibitor","NES","cytochrome P450 inhibitor",0.27198,0.922,0.525,627,0.806
"DNA alkylating agent","NES","DNA alkylating agent",0.43179,1.43,0.132,260,0.684
"DNA inhibitor","NES","DNA inhibitor",-0.27837,-0.972,0.452,1209,1
"DNA methyltransferase inhibitor","NES","DNA methyltransferase inhibitor",0.25563,0.854,0.594,658,1
"DNA polymerase inhibitor","NES","DNA polymerase inhibitor",0.31193,1.12,0.311,437,0.891
"DNA synthesis inhibitor","NES","DNA synthesis inhibitor",0.16257,0.535,0.922,564,0.944
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.39882,1.37,0.172,459,0.629
"estrogen receptor agonist","NES","estrogen receptor agonist",-0.18127,-0.626,0.843,242,0.937
"estrogen receptor antagonist","NES","estrogen receptor antagonist",0.6126,2.02,0.00856,189,0.277
"FGFR inhibitor","NES","FGFR inhibitor",0.24742,0.898,0.543,225,0.683
"FLT3 inhibitor","NES","FLT3 inhibitor",0.34905,1.18,0.287,58,0.658
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.60601,1.94,0.0153,278,0.219
