"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.6494,2.06,0.00379,0.0874,TRUE,2.18048644877313,0.6494,2.06,0.00379,0.0874,TRUE,2.18048644877313,2,2.18048644877313,0,2.06,0,0.000174534997735909,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.16773,0.573,0.901,0.897,FALSE,0.0270499301357352,-0.17226,-0.569,0.899,1,FALSE,0,0,0.0135249650678676,0.0191271890296007,0.002,0.807515944115037,0.98068382464403,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",-0.20568,-0.729,0.724,0.958,FALSE,-0.0135845438817411,0.24272,0.771,0.701,0.902,FALSE,0.0345357595551629,0,0.0104756078367109,0.0340261928729892,0.021,1.06066017177982,0.851732500931749,FALSE,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",0.14808,0.503,0.942,0.964,FALSE,0.00800925194687613,0.32602,1.05,0.364,0.701,FALSE,0.161996081135008,0,0.0850026665409423,0.108885131132343,0.7765,0.386787409309042,0.709898656244087,FALSE,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",0.37715,1.29,0.204,0.778,FALSE,0.140636319883301,0.43355,1.41,0.137,0.486,FALSE,0.441842860340166,0,0.291239590111734,0.212985187294789,1.35,0.0848528137423856,0.127929444570983,FALSE,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.28265,-1.03,0.416,0.801,FALSE,-0.0992585084332352,-0.26585,-0.879,0.568,0.911,FALSE,-0.0355833466407345,0,-0.0674209275369849,0.0450251386966278,-0.9545,0.106773123959169,0.577181614156865,FALSE,0,"FALSE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",-0.19014,-0.682,0.761,0.84,FALSE,-0.0516415269057967,-0.17535,-0.607,0.869,1,FALSE,0,0,-0.0258207634528984,0.0365160738659164,-0.6445,0.0530330085889911,0.934782805496511,FALSE,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.27428,0.914,0.563,0.932,FALSE,0.027953856108461,0.29892,0.985,0.448,0.755,FALSE,0.12022225264525,0,0.0740880543768553,0.0652436088803725,0.9495,0.0502045814642448,0.599646845791438,FALSE,0,"FALSE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",0.2061,0.698,0.773,1,FALSE,0,-0.27486,-0.902,0.531,0.904,FALSE,-0.0395360757112223,0,-0.0197680378556111,0.02795622723691,-0.102,1.13137084989848,0.775967777508321,FALSE,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.32213,-1.05,0.405,0.913,FALSE,-0.0415056835889861,-0.48599,-1.59,0.0822,0.426,FALSE,-0.589238737426677,0,-0.315372210507832,0.387305756648648,-1.32,0.381837661840736,0.146562568473194,FALSE,0,"TRUE",FALSE
