"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.82967,2.38,0,182,0.00505
"EGFR inhibitor","NES","Abl kinase inhibitor",0.27468,0.781,0.685,681,0.865
"EGFR inhibitor","NES","adrenergic receptor agonist",-0.58344,-1.71,0.0569,888,0.146
"EGFR inhibitor","NES","AKT inhibitor",0.30887,0.896,0.551,441,0.818
"EGFR inhibitor","NES","androgen receptor antagonist",-0.49527,-1.49,0.0951,830,0.177
"EGFR inhibitor","NES","AP inhibitor",0.37983,1.09,0.34,583,0.571
"EGFR inhibitor","NES","ATPase inhibitor",0.26609,0.763,0.73,689,0.859
"EGFR inhibitor","NES","Aurora kinase inhibitor",0.19348,0.55,0.919,44,1
"EGFR inhibitor","NES","BCL inhibitor",0.34261,0.972,0.483,235,0.727
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",0.27468,0.791,0.702,681,0.885
"EGFR inhibitor","NES","bromodomain inhibitor",-0.55193,-1.64,0.0491,843,0.156
"EGFR inhibitor","NES","CC chemokine receptor antagonist",-0.48228,-1.45,0.117,449,0.164
"EGFR inhibitor","NES","CDK inhibitor",0.17825,0.52,0.951,462,1
"EGFR inhibitor","NES","CHK inhibitor",0.21234,0.616,0.867,49,1
"EGFR inhibitor","NES","dopamine receptor antagonist",0.47771,1.34,0.178,46,0.394
"EGFR inhibitor","NES","glucocorticoid receptor agonist",-0.39279,-1.18,0.287,631,0.317
"EGFR inhibitor","NES","glutamate receptor antagonist",-0.53706,-1.57,0.0813,500,0.147
"EGFR inhibitor","NES","glycogen synthase kinase inhibitor",0.62238,1.81,0.0206,32,0.127
"EGFR inhibitor","NES","HCV inhibitor",0.29051,0.847,0.59,311,0.832
"EGFR inhibitor","NES","HDAC inhibitor",0.15877,0.469,0.964,527,0.97
"EGFR inhibitor","NES","histamine receptor antagonist",-0.78112,-2.32,0,728,0.00644
"EGFR inhibitor","NES","histone lysine methyltransferase inhibitor",0.52257,1.5,0.0989,277,0.272
"EGFR inhibitor","NES","HMGCR inhibitor",0.38417,1.1,0.338,323,0.587
