"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.82967,2.38,0,182,0.00505
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.46003,1.4,0.137,174,1
"adrenergic receptor agonist","NES","adrenergic receptor agonist",0.87339,2.68,0,123,0.000931
"AKT inhibitor","NES","AKT inhibitor",0.64901,1.88,0.0103,264,0.167
"androgen receptor antagonist","NES","androgen receptor antagonist",0.89689,2.71,0,102,0
"AP inhibitor","NES","AP inhibitor",0.69039,2.14,0.00334,23,0.0718
"ATPase inhibitor","NES","ATPase inhibitor",0.70064,2.12,0,284,0.044
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.65606,1.88,0.0151,237,0.171
"BCL inhibitor","NES","BCL inhibitor",0.8043,2.42,0.00217,189,0.0116
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.56961,1.72,0.0365,66,0.537
"bromodomain inhibitor","NES","bromodomain inhibitor",0.84962,2.49,0,146,0.000866
"CC chemokine receptor antagonist","NES","CC chemokine receptor antagonist",0.67669,1.99,0.0121,307,0.0572
"CDK inhibitor","NES","CDK inhibitor",0.88853,2.63,0,116,0
"CHK inhibitor","NES","CHK inhibitor",0.86248,2.59,0,54,0
"dopamine receptor antagonist","NES","dopamine receptor antagonist",0.82814,2.45,0,166,0.00385
"glucocorticoid receptor agonist","NES","glucocorticoid receptor agonist",0.81175,2.32,0,191,0.0064
"glutamate receptor antagonist","NES","glutamate receptor antagonist",0.84103,2.52,0,154,0.000937
"glycogen synthase kinase inhibitor","NES","glycogen synthase kinase inhibitor",0.91837,2.78,0,82,0
"HCV inhibitor","NES","HCV inhibitor",0.62124,1.91,0.0205,358,0.398
"HDAC inhibitor","NES","HDAC inhibitor",0.85385,2.41,0,111,0.000819
"histamine receptor antagonist","NES","histamine receptor antagonist",0.88948,2.6,0,108,0.000886
"HMGCR inhibitor","NES","HMGCR inhibitor",0.84425,2.48,0,151,0.00716
"HSP inhibitor","NES","HSP inhibitor",0.57991,1.75,0.0325,400,0.215
"MDM inhibitor","NES","MDM inhibitor",0.85285,2.46,0,143,0.00311
"MEK inhibitor","NES","MEK inhibitor",0.7371,2.16,0.00143,194,0.0238
"microtubule inhibitor","NES","microtubule inhibitor",0.76964,2.19,0.00149,222,0.00922
"mTOR inhibitor","NES","mTOR inhibitor",0.80694,2.28,0,193,0.00822
"opioid receptor agonist","NES","opioid receptor agonist",0.80344,2.42,0,189,0.00324
"p38 MAPK inhibitor","NES","p38 MAPK inhibitor",0.6867,2.07,0.00789,297,0.151
"phosphatase inhibitor","NES","phosphatase inhibitor",0.34747,1.02,0.445,51,0.683
"PI3K inhibitor","NES","PI3K inhibitor",0.96133,2.95,0,42,0
"PLK inhibitor","NES","PLK inhibitor",0.82922,2.45,0,165,0.00173
"PPAR receptor agonist","NES","PPAR receptor agonist",0.72318,2.23,0.00239,263,0.018
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.79095,2.34,0.00156,203,0.00853
"protein tyrosine kinase inhibitor","NES","protein tyrosine kinase inhibitor",0.51505,1.53,0.0728,458,0.222
"RAF inhibitor","NES","RAF inhibitor",0.65236,1.96,0.0078,329,0.217
"retinoid receptor agonist","NES","retinoid receptor agonist",0.84158,2.66,0,36,0.000563
"ribonucleotide reductase inhibitor","NES","ribonucleotide reductase inhibitor",0.70151,2.04,0.00475,286,0.0257
"sodium channel blocker","NES","sodium channel blocker",0.75914,2.35,0,231,0.0172
"TGF beta receptor inhibitor","NES","TGF beta receptor inhibitor",0.70708,2.08,0.00563,278,0.0258
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.81373,2.28,0.00192,190,0.00972
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.80571,2.28,0,203,0.00647
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.35617,1.06,0.413,546,0.576
"vitamin D receptor agonist","NES","vitamin D receptor agonist",0.87527,2.69,0,123,0
