"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.82967,2.38,0,0.00505,TRUE,5.46616652007759,0.82967,2.38,0,0.00505,TRUE,5.46616652007759,2,5.46616652007759,0,2.38,0,1.45403825662008e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",0.24231,0.714,0.77,0.802,FALSE,0.0684195010451072,0.27468,0.781,0.685,0.865,FALSE,0.0491904200699801,0,0.0588049605575437,0.0135970135534976,0.7475,0.0473761543394987,0.864860400500411,FALSE,1.21951219512195,"FALSE",FALSE
"acetylcholine receptor agonist & EGFR inhibitor","acetylcholine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"acetylcholine receptor antagonist & EGFR inhibitor","acetylcholine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adenosine receptor antagonist & EGFR inhibitor","adenosine receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"adrenergic receptor agonist & EGFR inhibitor","adrenergic receptor agonist","EGFR inhibitor",-0.42678,-1.32,0.178,0.58,FALSE,-0.312275048496923,-0.58344,-1.71,0.0569,0.146,FALSE,-1.42895661660861,0,-0.870615832552768,0.789613109237803,-1.515,0.275771644662753,0.0566412664050495,FALSE,0,"TRUE",FALSE
"adrenergic receptor antagonist & EGFR inhibitor","adrenergic receptor antagonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.39467,1.13,0.337,0.466,FALSE,0.3747239141403,0.30887,0.896,0.551,0.818,FALSE,0.0781730399104946,0,0.226448477025397,0.209693134134694,1.013,0.165462986797652,0.498326868381196,FALSE,0,"TRUE",FALSE
"ALK tyrosine kinase receptor inhibitor & EGFR inhibitor","ALK tyrosine kinase receptor inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23456790123457,"FALSE",FALSE
"androgen receptor antagonist & EGFR inhibitor","androgen receptor antagonist","EGFR inhibitor",-0.34184,-0.992,0.457,0.698,FALSE,-0.154895420757824,-0.49527,-1.49,0.0951,0.177,FALSE,-1.12051983312091,0,-0.637707626939366,0.682799570061212,-1.241,0.352139177030901,0.179749030792902,FALSE,0,"TRUE",FALSE
"antioxidant & EGFR inhibitor","antioxidant","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"AP inhibitor & EGFR inhibitor","AP inhibitor","EGFR inhibitor",-0.11547,-0.363,0.986,0.993,FALSE,-0.00110742279617663,0.37983,1.09,0.34,0.571,FALSE,0.265266642012026,0,0.132079609607925,0.188354907558105,0.3635,1.02742615306405,0.70162667428731,FALSE,0,"TRUE",FALSE
"ATPase inhibitor & EGFR inhibitor","ATPase inhibitor","EGFR inhibitor",0.30791,0.932,0.52,0.823,FALSE,0.0788473535821645,0.26609,0.763,0.73,0.859,FALSE,0.0503632159967621,0,0.0646052847894633,0.0201413268428887,0.8475,0.119501046020527,0.74729468576872,FALSE,0,"TRUE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",0.38506,1.1,0.366,0.659,FALSE,0.199226043946589,0.19348,0.55,0.919,1,FALSE,0,0,0.0996130219732946,0.140874086663602,0.825,0.388908729652601,0.702842325591808,FALSE,1.0752688172043,"TRUE",FALSE
"bacterial 50S ribosomal subunit inhibitor & EGFR inhibitor","bacterial 50S ribosomal subunit inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"bacterial DNA gyrase inhibitor & EGFR inhibitor","bacterial DNA gyrase inhibitor","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"BCL inhibitor & EGFR inhibitor","BCL inhibitor","EGFR inhibitor",0.44494,1.36,0.166,0.254,FALSE,0.809426145396884,0.34261,0.972,0.483,0.727,FALSE,0.134588552645015,0,0.47200734902095,0.477182238034452,1.166,0.274357431100381,0.282507673365053,FALSE,0,"TRUE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",0.20621,0.612,0.874,0.908,FALSE,0.0256514607050959,0.27468,0.791,0.702,0.885,FALSE,0.0419678728780201,0,0.033809666791558,0.0115374456921094,0.7015,0.126572113832392,0.913264221321934,FALSE,0,"FALSE",FALSE
"benzodiazepine receptor agonist & EGFR inhibitor","benzodiazepine receptor agonist","EGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
