"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"A.674563","Pearson.est","EGFR inhibitor",-0.41156,-1.05,0.386,269,0.425,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","Abl kinase inhibitor",-0.52061,-1.3,0.183,312,0.484,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","Aurora kinase inhibitor",0.63486,1.47,0.0652,123,0.221,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","Bcr.Abl kinase inhibitor",-0.44736,-1.15,0.28,312,0.379,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","CDK inhibitor",0.55033,1.25,0.225,87,0.526,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","glucocorticoid receptor agonist",0.52416,1.2,0.246,39,0.546,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","HDAC inhibitor",0.50759,1.15,0.297,117,0.566,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","HSP inhibitor",0.31953,0.724,0.805,47,1,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","JAK inhibitor",0.67606,1.56,0.049,120,0.619,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","KIT inhibitor",0.24027,0.549,0.953,146,0.957,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","MDM inhibitor",-0.47887,-1.21,0.226,297,0.377,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","MEK inhibitor",-0.85651,-2.17,0,303,0.0106,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","mTOR inhibitor",-0.482,-1.22,0.247,250,0.457,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.27421,0.632,0.904,145,1,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","PI3K inhibitor",0.48592,1.1,0.363,85,0.586,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","PLK inhibitor",0.67521,1.55,0.0369,2,0.331,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","protein synthesis inhibitor",0.65256,1.48,0.0627,63,0.259,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","protein tyrosine kinase inhibitor",0.32536,0.736,0.788,42,1,FALSE,NA,"AKT inhibitor"
"A.674563","Pearson.est","RAF inhibitor",-0.50712,-1.3,0.199,279,0.484,FALSE,NA,"AKT inhibitor"
