"Drug","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value","self","qc_pass","moa"
"BMS.690514","Pearson.est","VEGFR inhibitor",-0.29985,-0.798,0.669,284,0.809,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"CP.673451","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",0.36555,0.882,0.594,79,0.68,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor"
"CUDC.907","Pearson.est","PI3K inhibitor",0.44836,0.964,0.515,99,0.816,TRUE,FALSE,"PI3K inhibitor"
"KW.2478","Pearson.est","HSP inhibitor",-0.48824,-1.29,0.193,331,0.24,TRUE,FALSE,"HSP inhibitor"
"NMS.E973","Pearson.est","HSP inhibitor",-0.4333,-1.08,0.345,230,0.713,TRUE,FALSE,"HSP inhibitor"
"NVP.AUY922","Pearson.est","HSP inhibitor",-0.35598,-0.988,0.413,343,0.605,TRUE,FALSE,"HSP inhibitor"
"PHA.848125","Pearson.est","CDK inhibitor",-0.3611,-0.932,0.508,347,0.507,TRUE,FALSE,"CDK inhibitor, growth factor receptor inhibitor"
"PU.H71","Pearson.est","HSP inhibitor",0.25254,0.594,0.942,60,0.925,TRUE,FALSE,"HSP inhibitor"
"SN.38","Pearson.est","topoisomerase inhibitor",0.38617,0.92,0.581,109,0.653,TRUE,FALSE,"topoisomerase inhibitor"
"XL.647","Pearson.est","VEGFR inhibitor",-0.30465,-0.789,0.68,292,0.697,TRUE,FALSE,"EGFR inhibitor, VEGFR inhibitor"
"ZM.306416","Pearson.est","Abl kinase inhibitor",-0.48899,-1.36,0.127,260,0.444,TRUE,FALSE,"Abl kinase inhibitor, src inhibitor, VEGFR inhibitor"
"ZM.306416","Pearson.est","VEGFR inhibitor",0.2869,0.724,0.772,36,0.845,TRUE,FALSE,"Abl kinase inhibitor, src inhibitor, VEGFR inhibitor"
"abemaciclib","Pearson.est","CDK inhibitor",0.27433,0.669,0.87,2,0.984,TRUE,FALSE,"CDK inhibitor"
"albendazole","Pearson.est","tubulin polymerization inhibitor",0.40408,0.99,0.474,217,0.59,TRUE,FALSE,"tubulin polymerization inhibitor"
"aminopurvalanol.a","Pearson.est","tyrosine kinase inhibitor",0.34675,0.82,0.705,54,0.812,TRUE,FALSE,"CDK inhibitor, tyrosine kinase inhibitor"
"amsacrine","Pearson.est","topoisomerase inhibitor",0.40582,0.97,0.509,82,0.585,TRUE,FALSE,"topoisomerase inhibitor"
"arcyriaflavin.a","Pearson.est","CDK inhibitor",0.36939,0.904,0.571,93,0.685,TRUE,FALSE,"CDK inhibitor"
"beta.lapachone","Pearson.est","topoisomerase inhibitor",0.26492,0.593,0.934,46,1,TRUE,FALSE,"topoisomerase inhibitor"
"cediranib","Pearson.est","KIT inhibitor",-0.65988,-1.88,0.0261,306,0.0648,TRUE,FALSE,"KIT inhibitor, VEGFR inhibitor"
"cediranib","Pearson.est","VEGFR inhibitor",-0.38356,-1.11,0.293,326,0.397,TRUE,FALSE,"KIT inhibitor, VEGFR inhibitor"
"crenolanib","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.42317,-1.12,0.324,260,0.404,TRUE,FALSE,"PDGFR tyrosine kinase receptor inhibitor"
"dasatinib","Pearson.est","KIT inhibitor",-0.56775,-1.4,0.128,230,0.471,TRUE,FALSE,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor"
"dasatinib","Pearson.est","PDGFR tyrosine kinase receptor inhibitor",-0.52364,-1.31,0.187,230,0.54,TRUE,FALSE,"Bcr-Abl kinase inhibitor, ephrin inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor, tyrosine kinase inhibitor"
