pair,moa_i,moa_j,ES_ij,NES_ij,p_ij,FDR_ij,sig_ij,score_ij,ES_ji,NES_ji,p_ji,FDR_ji,sig_ji,score_ji,N_sig,score_avg,score_sd,NES_avg,NES_sd,Fisher_p,self,percent_overlap,qc1_pass,qc_pass
EGFR inhibitor & EGFR inhibitor,EGFR inhibitor,EGFR inhibitor,0.82806,2.63,0,0,TRUE,7.901479438,0.82806,2.63,0,0,TRUE,7.901479438,2,7.901479438,0,2.63,0,1.45E-05,TRUE,100,TRUE,TRUE
Abl kinase inhibitor & EGFR inhibitor,Abl kinase inhibitor,EGFR inhibitor,-0.63642,-2,0.0112,0.0708,TRUE,-2.299933485,-0.37113,-1.17,0.274,0.458,FALSE,-0.396787391,1,-1.348360438,1.345727509,-1.585,0.586898628,0.020826315,FALSE,2.127659574,FALSE,FALSE
AKT inhibitor & EGFR inhibitor,AKT inhibitor,EGFR inhibitor,0.55775,1.81,0.0295,0.131,TRUE,1.597738955,0.44065,1.41,0.14,0.312,FALSE,0.713242022,1,1.155490489,0.625433779,1.61,0.282842712,0.026801544,FALSE,0,FALSE,FALSE
Aurora kinase inhibitor & EGFR inhibitor,Aurora kinase inhibitor,EGFR inhibitor,-0.3075,-1.01,0.426,0.512,FALSE,-0.293637339,-0.29579,-0.95,0.477,0.639,FALSE,-0.184774185,0,-0.239205762,0.076977875,-0.98,0.042426407,0.527015506,FALSE,0,TRUE,FALSE
Bcr.Abl kinase inhibitor & EGFR inhibitor,Bcr.Abl kinase inhibitor,EGFR inhibitor,-0.61622,-1.93,0.00503,0.171,TRUE,-1.480317507,-0.48891,-1.55,0.0892,0.214,FALSE,-1.037858651,1,-1.259088079,0.312865657,-1.74,0.268700577,0.003907613,FALSE,0,FALSE,FALSE
CDK inhibitor & EGFR inhibitor,CDK inhibitor,EGFR inhibitor,0.40181,1.25,0.234,0.432,FALSE,0.455645316,0.24689,0.793,0.667,0.735,FALSE,0.10603414,0,0.280839728,0.247212434,1.0215,0.323147799,0.445977183,FALSE,0,FALSE,FALSE
EGFR inhibitor & glucocorticoid receptor agonist,EGFR inhibitor,glucocorticoid receptor agonist,0.38701,1.23,0.225,0.436,FALSE,0.443431618,0.60523,1.97,0.0132,0.165,TRUE,1.54155663,1,0.992494124,0.776491642,1.6,0.523259018,0.020253004,FALSE,0,FALSE,FALSE
EGFR inhibitor & HDAC inhibitor,EGFR inhibitor,HDAC inhibitor,0.25249,0.815,0.635,0.788,FALSE,0.084331133,0.38435,1.21,0.263,0.335,FALSE,0.574695783,0,0.329513458,0.34674017,1.0125,0.279307179,0.465899114,FALSE,0,TRUE,FALSE
EGFR inhibitor & HSP inhibitor,EGFR inhibitor,HSP inhibitor,0.22185,0.709,0.754,0.766,FALSE,0.082081802,-0.60292,-2.01,0.0203,0.0457,TRUE,-2.693568438,1,-1.305743318,1.962681107,-0.6505,1.922623338,0.079278422,FALSE,0,FALSE,FALSE
EGFR inhibitor & JAK inhibitor,EGFR inhibitor,JAK inhibitor,-0.50995,-1.63,0.0677,0.276,FALSE,-0.911318196,-0.60339,-2.03,0.0178,0.0562,TRUE,-2.538035279,1,-1.724676738,1.150262681,-1.83,0.282842712,0.009304541,FALSE,0,FALSE,FALSE
EGFR inhibitor & KIT inhibitor,EGFR inhibitor,KIT inhibitor,-0.42994,-1.37,0.157,0.292,FALSE,-0.732425494,-0.59483,-1.89,0.019,0.224,TRUE,-1.228031245,1,-0.980228369,0.350446188,-1.63,0.367695526,0.020328625,FALSE,13.95348837,FALSE,FALSE
