"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.83485,2.51,0.002,67,0.000879
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.34582,1.02,0.412,89,0.628
"Aurora kinase inhibitor","NES","Aurora kinase inhibitor",0.68786,1.94,0.00735,77,0.0273
"Bcr.Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.55418,1.7,0.0347,86,0.102
"CDK inhibitor","NES","CDK inhibitor",0.56604,1.66,0.0428,143,0.149
"HDAC inhibitor","NES","HDAC inhibitor",0.79048,2.32,0.00157,74,0.00747
"MEK inhibitor","NES","MEK inhibitor",0.98382,2.89,0,19,0
"PI3K inhibitor","NES","PI3K inhibitor",0.57729,1.73,0.0521,140,0.1
"protein synthesis inhibitor","NES","protein synthesis inhibitor",0.63924,1.85,0.0127,121,0.195
"RAF inhibitor","NES","RAF inhibitor",0.9557,2.95,0,21,0
"topoisomerase inhibitor","NES","topoisomerase inhibitor",0.70903,1.99,0.00528,37,0.0753
"tubulin polymerization inhibitor","NES","tubulin polymerization inhibitor",0.75939,2.09,0.00146,51,0.0114
"tyrosine kinase inhibitor","NES","tyrosine kinase inhibitor",0.26427,0.792,0.692,109,0.75
