"moa","Rank_metric","Drug_set","ES","NES","p_value","Position_at_max","FDR_q_value"
"EGFR inhibitor","NES","EGFR inhibitor",0.83485,2.51,0.002,67,0.000879
"EGFR inhibitor","NES","Abl kinase inhibitor",-0.66667,-1.98,0.00575,212,0.0415
"EGFR inhibitor","NES","AKT inhibitor",0.4512,1.35,0.171,72,0.19
"EGFR inhibitor","NES","Aurora kinase inhibitor",-0.29691,-0.882,0.571,316,0.703
"EGFR inhibitor","NES","Bcr.Abl kinase inhibitor",-0.66667,-2.01,0.00958,212,0.0539
"EGFR inhibitor","NES","CDK inhibitor",0.51952,1.58,0.081,135,0.13
"EGFR inhibitor","NES","HDAC inhibitor",-0.23492,-0.691,0.788,74,0.801
"EGFR inhibitor","NES","JAK inhibitor",-0.50339,-1.53,0.0835,267,0.16
"EGFR inhibitor","NES","MDM inhibitor",-0.54915,-1.6,0.0752,241,0.153
"EGFR inhibitor","NES","MEK inhibitor",0.32686,0.978,0.491,222,0.458
"EGFR inhibitor","NES","mTOR inhibitor",0.56604,1.67,0.06,143,0.113
"EGFR inhibitor","NES","PI3K inhibitor",0.62249,1.87,0.0145,97,0.0914
"EGFR inhibitor","NES","PLK inhibitor",-0.24214,-0.72,0.761,77,0.845
"EGFR inhibitor","NES","protein synthesis inhibitor",-0.42722,-1.27,0.215,135,0.329
"EGFR inhibitor","NES","protein tyrosine kinase inhibitor",0.61746,1.83,0.0169,100,0.0721
"EGFR inhibitor","NES","RAF inhibitor",-0.71835,-2.2,0.00371,227,0.0289
"EGFR inhibitor","NES","topoisomerase inhibitor",-0.62097,-1.82,0.0233,233,0.077
"EGFR inhibitor","NES","tubulin polymerization inhibitor",-0.34182,-1.02,0.394,242,0.581
"EGFR inhibitor","NES","tyrosine kinase inhibitor",0.47484,1.4,0.134,52,0.191
"Abl kinase inhibitor","NES","EGFR inhibitor",-0.6605,-1.93,0.016,220,0.114
"Abl kinase inhibitor","NES","Abl kinase inhibitor",0.34582,1.02,0.412,89,0.628
"Abl kinase inhibitor","NES","AKT inhibitor",-0.65396,-1.91,0.0114,263,0.064
"Abl kinase inhibitor","NES","Aurora kinase inhibitor",-0.37243,-1.09,0.355,245,0.399
"Abl kinase inhibitor","NES","Bcr.Abl kinase inhibitor",0.34582,1.07,0.371,89,0.832
"Abl kinase inhibitor","NES","CDK inhibitor",-0.58491,-1.74,0.0464,186,0.0856
"Abl kinase inhibitor","NES","HDAC inhibitor",-0.42663,-1.24,0.207,221,0.335
