"pair","moa_i","moa_j","ES_ij","NES_ij","p_ij","FDR_ij","sig_ij","score_ij","ES_ji","NES_ji","p_ji","FDR_ji","sig_ji","score_ji","N_sig","score_avg","score_sd","NES_avg","NES_sd","Fisher_p","self","percent_overlap","qc1_pass","qc_pass"
"EGFR inhibitor & EGFR inhibitor","EGFR inhibitor","EGFR inhibitor",0.83485,2.51,0.002,0.000879,TRUE,7.67058792356483,0.83485,2.51,0.002,0.000879,TRUE,7.67058792356483,2,7.67058792356483,0,2.51,0,5.37168647873776e-05,TRUE,100,"TRUE",TRUE
"Abl kinase inhibitor & EGFR inhibitor","Abl kinase inhibitor","EGFR inhibitor",-0.6605,-1.93,0.016,0.114,TRUE,-1.82017363692061,-0.66667,-1.98,0.00575,0.0415,TRUE,-2.73626476851006,2,-2.27821920271533,0.647774251331757,-1.955,0.0353553390593274,0.000947022422244202,FALSE,1.21951219512195,"FALSE",FALSE
"AKT inhibitor & EGFR inhibitor","AKT inhibitor","EGFR inhibitor",0.56436,1.69,0.0522,0.123,FALSE,1.53806036166742,0.4512,1.35,0.171,0.19,FALSE,0.973682638713681,0,1.25587150019055,0.39907531505121,1.52,0.240416305603426,0.0510468357385721,FALSE,0,"FALSE",FALSE
"Aurora kinase inhibitor & EGFR inhibitor","Aurora kinase inhibitor","EGFR inhibitor",-0.27471,-0.843,0.605,0.706,FALSE,-0.127457637013329,-0.29691,-0.882,0.571,0.703,FALSE,-0.134985403332515,0,-0.131221520172922,0.005322934611484,-0.8625,0.0275771644662754,0.712636663410787,FALSE,1.0752688172043,"TRUE",FALSE
"Bcr.Abl kinase inhibitor & EGFR inhibitor","Bcr.Abl kinase inhibitor","EGFR inhibitor",-0.64684,-1.91,0.00893,0.0589,TRUE,-2.34907978695664,-0.66667,-2.01,0.00958,0.0539,TRUE,-2.54950658197465,2,-2.44929318446565,0.141723145888728,-1.96,0.0707106781186547,0.000886840717807072,FALSE,0,"TRUE",TRUE
"CDK inhibitor & EGFR inhibitor","CDK inhibitor","EGFR inhibitor",0.40203,1.19,0.287,0.404,FALSE,0.46840617551838,0.51952,1.58,0.081,0.13,FALSE,1.3999695033552,0,0.934187839436789,0.658714746218121,1.385,0.275771644662754,0.110692431372561,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & glucocorticoid receptor agonist","EGFR inhibitor","glucocorticoid receptor agonist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"EGFR inhibitor & HDAC inhibitor","EGFR inhibitor","HDAC inhibitor",-0.23492,-0.691,0.788,0.801,FALSE,-0.0665899313857918,0.41316,1.18,0.29,0.311,FALSE,0.598542740948332,0,0.26597640478127,0.470319822996189,0.2445,1.32299678760003,0.565845580692165,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & HSP inhibitor","EGFR inhibitor","HSP inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
"EGFR inhibitor & JAK inhibitor","EGFR inhibitor","JAK inhibitor",-0.50339,-1.53,0.0835,0.16,FALSE,-1.21769642653644,-0.59585,-1.86,0.0331,0.1,TRUE,-1.86,1,-1.53884821326822,0.454177212376439,-1.695,0.233345237791561,0.0190460514296578,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & KIT inhibitor","EGFR inhibitor","KIT inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4736842105263,"FALSE",FALSE
"EGFR inhibitor & MDM inhibitor","EGFR inhibitor","MDM inhibitor",-0.54915,-1.6,0.0752,0.153,FALSE,-1.30449371069184,-0.65512,-1.87,0.0205,0.0911,TRUE,-1.94570063506049,1,-1.62509717287617,0.453401764364843,-1.735,0.190918830920368,0.0115233589340361,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & MEK inhibitor","EGFR inhibitor","MEK inhibitor",0.32686,0.978,0.491,0.458,FALSE,0.331673562512216,0.37435,1.1,0.348,0.336,FALSE,0.521026794871172,0,0.426350178691694,0.13389295464061,1.039,0.0862670273047589,0.472768509476141,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & mTOR inhibitor","EGFR inhibitor","mTOR inhibitor",0.56604,1.67,0.06,0.113,FALSE,1.58135899938269,0.72531,2.28,0.00226,0.023,TRUE,3.73526053387989,1,2.65830976663129,1.52303838105108,1.975,0.431335136523794,0.0013432266403413,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & PDGFR tyrosine kinase receptor inhibitor","EGFR inhibitor","PDGFR tyrosine kinase receptor inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9873417721519,"FALSE",FALSE
"EGFR inhibitor & PI3K inhibitor","EGFR inhibitor","PI3K inhibitor",0.62249,1.87,0.0145,0.0914,TRUE,1.94303061397774,0.75881,2.31,0,0.0146,TRUE,4.24034490313795,2,3.09168775855784,1.62444651238194,2.09,0.311126983722081,0.000174433522768236,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & PLK inhibitor","EGFR inhibitor","PLK inhibitor",-0.24214,-0.72,0.761,0.845,FALSE,-0.0526631695562215,-0.34258,-1.06,0.379,0.489,FALSE,-0.329332609328963,0,-0.190997889442592,0.195634837010388,-0.89,0.240416305603426,0.64702216644272,FALSE,0,"FALSE",FALSE
"EGFR inhibitor & protein synthesis inhibitor","EGFR inhibitor","protein synthesis inhibitor",-0.42722,-1.27,0.215,0.329,FALSE,-0.613161209603533,-0.482,-1.52,0.0806,0.242,FALSE,-0.936600643709744,0,-0.774880926656639,0.228706217159642,-1.395,0.176776695296637,0.0876045739721352,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & protein tyrosine kinase inhibitor","EGFR inhibitor","protein tyrosine kinase inhibitor",0.61746,1.83,0.0169,0.0721,TRUE,2.08997846556345,0.68942,2.02,0.00931,0.096,TRUE,2.05581210926007,2,2.07289528741176,0.0241592622305511,1.925,0.134350288425444,0.00153517359118453,FALSE,2.56410256410256,"FALSE",FALSE
"EGFR inhibitor & RAF inhibitor","EGFR inhibitor","RAF inhibitor",-0.71835,-2.2,0.00371,0.0289,TRUE,-3.38602474593559,-0.65982,-1.94,0.00898,0.0661,TRUE,-2.28880916859786,2,-2.83741695726673,0.775848575159027,-2.07,0.183847763108503,0.000376784333772751,FALSE,3.75,"TRUE",TRUE
"EGFR inhibitor & topoisomerase inhibitor","EGFR inhibitor","topoisomerase inhibitor",-0.62097,-1.82,0.0233,0.077,TRUE,-2.02658688018608,-0.73466,-2.23,0.00242,0.0162,TRUE,-3.99278151756993,2,-3.00968419887801,1.39030956122675,-2.025,0.289913780286484,0.000608026570612234,FALSE,0,"TRUE",TRUE
"EGFR inhibitor & tubulin polymerization inhibitor","EGFR inhibitor","tubulin polymerization inhibitor",-0.34182,-1.02,0.394,0.581,FALSE,-0.240540344961863,-0.42116,-1.26,0.209,0.313,FALSE,-0.635614134691475,0,-0.438077239826669,0.279359355786877,-1.14,0.169705627484771,0.287949584116784,FALSE,0,"TRUE",FALSE
"EGFR inhibitor & tyrosine kinase inhibitor","EGFR inhibitor","tyrosine kinase inhibitor",0.47484,1.4,0.134,0.191,FALSE,1.00655328585318,0.65286,1.97,0.0138,0.123,TRUE,1.79288693046439,1,1.39972010815878,0.556021852379715,1.685,0.403050865276332,0.0134862196050902,FALSE,7.95454545454545,"FALSE",FALSE
"EGFR inhibitor & VEGFR inhibitor","EGFR inhibitor","VEGFR inhibitor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2957746478873,"FALSE",FALSE
"Abl kinase inhibitor & Abl kinase inhibitor","Abl kinase inhibitor","Abl kinase inhibitor",0.34582,1.02,0.412,0.628,FALSE,0.20608116338806,0.34582,1.02,0.412,0.628,FALSE,0.20608116338806,0,0.20608116338806,0,1.02,0,0.470778849327116,TRUE,100,"FALSE",FALSE
"AKT inhibitor & Abl kinase inhibitor","AKT inhibitor","Abl kinase inhibitor",-0.49475,-1.45,0.128,0.219,FALSE,-0.956356033481828,-0.65396,-1.91,0.0114,0.064,TRUE,-2.28019624969078,1,-1.6182761415863,0.936096394088812,-1.68,0.325269119345812,0.0109875818368696,FALSE,0,"FALSE",FALSE
"Abl kinase inhibitor & Aurora kinase inhibitor","Abl kinase inhibitor","Aurora kinase inhibitor",-0.37243,-1.09,0.355,0.399,FALSE,-0.434939543701444,-0.35252,-1.08,0.351,0.538,FALSE,-0.2907551422803,0,-0.362847342990872,0.101953767986215,-1.085,0.00707106781186548,0.38410818854259,FALSE,6.06060606060606,"FALSE",FALSE
"Abl kinase inhibitor & Bcr.Abl kinase inhibitor","Abl kinase inhibitor","Bcr.Abl kinase inhibitor",0.34582,1.07,0.371,0.832,FALSE,0.0854680408689254,0.55418,1.71,0.0365,0.131,TRUE,1.50946608442864,1,0.797467062648784,1.00691867299745,1.39,0.45254833995939,0.0717969820131162,FALSE,0,"FALSE",FALSE
"Abl kinase inhibitor & CDK inhibitor","Abl kinase inhibitor","CDK inhibitor",-0.58491,-1.74,0.0464,0.0856,TRUE,-1.85749564946175,-0.66995,-2.12,0.0028,0.0108,TRUE,-4.16914163836767,2,-3.01331864391471,1.63458055445805,-1.93,0.268700576850888,0.0012925210312671,FALSE,0,"FALSE",FALSE
"Abl kinase inhibitor & glucocorticoid receptor agonist","Abl kinase inhibitor","glucocorticoid receptor agonist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"FALSE",FALSE
